percent,nCrystals
100.0,54
100.0,54
14.814814814814813,8
16.666666666666664,9
16.666666666666664,9
16.666666666666664,9
46.2962962962963,25
16.666666666666664,9
16.666666666666664,9
100.0,54
100.0,54
72.22222222222221,39
16.666666666666664,9
61.111111111111114,33
42.592592592592595,23
35.18518518518518,19
16.666666666666664,9
16.666666666666664,9
31.48148148148148,17
40.74074074074074,22
16.666666666666664,9
33.33333333333333,18
16.666666666666664,9
55.55555555555556,30
48.148148148148145,26
11.11111111111111,6
11.11111111111111,6
24.074074074074073,13
44.44444444444444,24
61.111111111111114,33
74.07407407407408,40
66.66666666666666,36
72.22222222222221,39
40.74074074074074,22
48.148148148148145,26
31.48148148148148,17
27.77777777777778,15
31.48148148148148,17
16.666666666666664,9
27.77777777777778,15
16.666666666666664,9
33.33333333333333,18
11.11111111111111,6
27.77777777777778,15
22.22222222222222,12
25.925925925925924,14
27.77777777777778,15
11.11111111111111,6
33.33333333333333,18
22.22222222222222,12
25.925925925925924,14
16.666666666666664,9
11.11111111111111,6
22.22222222222222,12
37.03703703703704,20
14.814814814814813,8
22.22222222222222,12
38.88888888888889,21
11.11111111111111,6
16.666666666666664,9
14.814814814814813,8
27.77777777777778,15
14.814814814814813,8
27.77777777777778,15
22.22222222222222,12
16.666666666666664,9
22.22222222222222,12
33.33333333333333,18
22.22222222222222,12
18.51851851851852,10
22.22222222222222,12
22.22222222222222,12
16.666666666666664,9
11.11111111111111,6
27.77777777777778,15
16.666666666666664,9
27.77777777777778,15
16.666666666666664,9
29.629629629629626,16
27.77777777777778,15
16.666666666666664,9
14.814814814814813,8
11.11111111111111,6
11.11111111111111,6
14.814814814814813,8
29.629629629629626,16
22.22222222222222,12
27.77777777777778,15
22.22222222222222,12
22.22222222222222,12
22.22222222222222,12
16.666666666666664,9
22.22222222222222,12
22.22222222222222,12
18.51851851851852,10
11.11111111111111,6
22.22222222222222,12
33.33333333333333,18
29.629629629629626,16
11.11111111111111,6
11.11111111111111,6
16.666666666666664,9
11.11111111111111,6
29.629629629629626,16
22.22222222222222,12
22.22222222222222,12
11.11111111111111,6
11.11111111111111,6
29.629629629629626,16
14.814814814814813,8
16.666666666666664,9
11.11111111111111,6
16.666666666666664,9
35.18518518518518,19
22.22222222222222,12
16.666666666666664,9
14.814814814814813,8
11.11111111111111,6
22.22222222222222,12
11.11111111111111,6
16.666666666666664,9
16.666666666666664,9
11.11111111111111,6
27.77777777777778,15
11.11111111111111,6
27.77777777777778,15
11.11111111111111,6
33.33333333333333,18
20.37037037037037,11
29.629629629629626,16
11.11111111111111,6
22.22222222222222,12
22.22222222222222,12
14.814814814814813,8
16.666666666666664,9
22.22222222222222,12
7.4074074074074066,4
22.22222222222222,12
7.4074074074074066,4
40.74074074074074,22
22.22222222222222,12
22.22222222222222,12
18.51851851851852,10
16.666666666666664,9
29.629629629629626,16
11.11111111111111,6
22.22222222222222,12
22.22222222222222,12
11.11111111111111,6
38.88888888888889,21
22.22222222222222,12
27.77777777777778,15
22.22222222222222,12
27.77777777777778,15
22.22222222222222,12
44.44444444444444,24
18.51851851851852,10
22.22222222222222,12
11.11111111111111,6
22.22222222222222,12
11.11111111111111,6
22.22222222222222,12
38.88888888888889,21
22.22222222222222,12
11.11111111111111,6
29.629629629629626,16
14.814814814814813,8
20.37037037037037,11
22.22222222222222,12
11.11111111111111,6
11.11111111111111,6
14.814814814814813,8
33.33333333333333,18
14.814814814814813,8
16.666666666666664,9
22.22222222222222,12
22.22222222222222,12
11.11111111111111,6
11.11111111111111,6
27.77777777777778,15
14.814814814814813,8
27.77777777777778,15
16.666666666666664,9
16.666666666666664,9
11.11111111111111,6
22.22222222222222,12
22.22222222222222,12
22.22222222222222,12
16.666666666666664,9
11.11111111111111,6
27.77777777777778,15
33.33333333333333,18
11.11111111111111,6
16.666666666666664,9
22.22222222222222,12
11.11111111111111,6
27.77777777777778,15
7.4074074074074066,4
11.11111111111111,6
44.44444444444444,24
27.77777777777778,15
38.88888888888889,21
11.11111111111111,6
100.0,54
100.0,54
100.0,54
22.22222222222222,12
11.11111111111111,6
16.666666666666664,9
16.666666666666664,9
100.0,54
100.0,54
98.14814814814815,53
68.51851851851852,37
16.666666666666664,9
64.81481481481481,35
70.37037037037037,38
61.111111111111114,33
70.37037037037037,38
90.74074074074075,49
88.88888888888889,48
79.62962962962963,43
16.666666666666664,9
83.33333333333334,45
40.74074074074074,22
11.11111111111111,6
31.48148148148148,17
79.62962962962963,43
90.74074074074075,49
48.148148148148145,26
62.96296296296296,34
35.18518518518518,19
20.37037037037037,11
11.11111111111111,6
29.629629629629626,16
20.37037037037037,11
27.77777777777778,15
16.666666666666664,9
11.11111111111111,6
16.666666666666664,9
20.37037037037037,11
29.629629629629626,16
22.22222222222222,12
22.22222222222222,12
31.48148148148148,17
14.814814814814813,8
22.22222222222222,12
11.11111111111111,6
27.77777777777778,15
16.666666666666664,9
27.77777777777778,15
7.4074074074074066,4
20.37037037037037,11
25.925925925925924,14
22.22222222222222,12
38.88888888888889,21
35.18518518518518,19
29.629629629629626,16
11.11111111111111,6
11.11111111111111,6
14.814814814814813,8
11.11111111111111,6
22.22222222222222,12
27.77777777777778,15
14.814814814814813,8
22.22222222222222,12
16.666666666666664,9
27.77777777777778,15
20.37037037037037,11
14.814814814814813,8
22.22222222222222,12
27.77777777777778,15
44.44444444444444,24
11.11111111111111,6
16.666666666666664,9
22.22222222222222,12
