CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
4.5,2.5,8.5,4.5,8.5,3.5,8.5,5.5,10
0.5,4.5,4.5,4.5,8.5,3.5,6.5,4.5,12
0.5,3.5,2.5,4.5,7.5,5.5,3.5,2.5,3
2.5,4.5,7.5,5.5,3.5,2.5,6.5,1.5,4
1.5,3.5,2.5,3.5,5.5,3.5,6.5,1.5,3
1.5,2.5,4.5,3.5,6.5,3.5,6.5,5.5,3
2.5,2.5,2.5,1.5,3.5,2.5,8.5,4.5,4
0.5,2.5,3.5,2.5,7.5,3.5,7.5,1.5,4
0.5,0.5,1.5,2.5,5.5,3.5,8.5,5.5,10
3.5,2.5,7.5,3.5,7.5,3.5,6.5,4.5,7
1.5,1.5,3.5,2.5,5.5,2.5,7.5,2.5,11
0.5,1.5,3.5,3.5,8.5,3.5,8.5,3.5,11
0.5,3.5,1.5,3.5,2.5,4.5,6.5,5.5,5
0.5,1.5,3.5,2.5,6.5,2.5,8.5,1.5,11
0.5,2.5,2.5,2.5,7.5,3.5,8.5,3.5,13
0.5,3.5,1.5,3.5,1.5,4.5,6.5,5.5,22
0.5,3.5,3.5,3.5,7.5,4.5,8.5,3.5,11
0.5,1.5,3.5,2.5,6.5,2.5,7.500000000000001,1.0194649940700047,19
0.5,1.5,0.5,1.5,1.5,2.5,4.5,2.5,11
0.5,1.5,1.5,2.5,4.5,2.5,8.5,0.5,12
0.5,3.5,0.5,2.5,2.5,2.5,7.5,1.5,6
2.5,3.5,8.5,3.5,8.5,3.5,5.5,2.5,7
0.5,4.5,1.5,3.5,3.5,3.5,7.5,4.5,12
0.5,1.5,2.5,2.5,4.5,3.5,8.5,4.5,4
0.5,2.5,0.5,2.5,3.5,3.5,7.5,4.5,7
2.5,4.5,4.5,3.5,6.5,1.5,7.5,0.5,10
0.5,2.5,2.5,2.5,4.5,3.5,5.5,5.5,23
5.5,1.5,7.5,2.5,8.5,3.5,5.5,2.5,1
7.5,2.5,8.5,3.5,5.5,2.5,6.5,2.5,2
0.5,2.5,0.5,2.5,2.5,2.5,5.5,3.5,10
0.5,3.5,1.5,3.5,5.5,2.5,5.5,4.5,23
1.5,3.5,1.5,3.5,7.5,3.5,8.5,5.022972328848686,1
1.5,1.5,5.5,2.5,0.5,3.5,1.5,3.5,6
1.5,3.5,1.5,3.5,1.5,3.5,7.5,3.5,24
0.5,3.5,0.5,3.5,4.5,3.5,7.5,4.5,1
0.5,3.5,2.5,2.5,5.5,3.5,7.5,1.5,8
2.5,2.5,5.5,3.5,7.5,1.5,6.5,1.5,9
0.5,2.5,2.5,3.5,5.5,3.5,8.5,3.5,12
0.5,4.5,1.5,4.5,1.5,2.5,5.5,2.5,21
1.5,2.5,2.5,2.5,5.5,3.5,7.5,5.5,10
0.5,1.5,4.5,2.5,5.5,3.5,6.5,2.5,2
0.5,4.5,0.5,2.5,5.5,2.5,8.5,0.5,4
0.5,1.5,0.5,2.5,0.5,4.5,4.5,5.5,5
1.5,2.5,5.5,2.5,7.5,2.5,4.5,1.5,7
0.5,2.5,1.5,1.5,1.5,3.5,3.5,4.5,7
0.5,5.5,1.5,5.5,3.5,4.5,8.5,0.5,9
1.5,2.5,3.5,3.5,5.5,3.5,7.5,5.5,10
1.5,3.5,1.5,3.5,6.5,3.5,8.5,1.5,10
0.5,2.5,0.5,4.5,1.5,4.5,8.5,3.5,24
0.5,3.5,2.5,4.5,4.5,3.5,7.5,3.5,6
2.5,3.5,3.5,2.5,4.5,3.5,8.5,5.5,21
2.5,3.5,6.5,2.5,8.5,4.5,5.5,1.5,9
0.5,3.5,0.5,3.5,3.5,3.5,6.5,2.5,7
2.5,1.5,0.5,1.5,1.5,4.5,6.5,4.5,10
0.5,2.5,1.5,2.5,1.5,2.5,5.5,3.5,14
0.5,3.5,2.5,2.5,3.5,2.5,7.5,0.5,24
1.5,2.5,3.5,3.5,8.5,4.5,4.5,0.5,10
0.5,4.5,2.5,3.5,6.5,3.5,8.5,4.5,18
2.5,3.5,6.5,3.5,8.5,4.5,8.5,4.5,19
0.5,4.5,3.5,3.5,4.5,3.5,7.5,5.5,20
1.5,4.5,6.5,4.5,8.5,3.5,4.5,3.5,3
6.5,4.5,8.5,3.5,4.5,3.5,4.5,4.5,4
0.5,2.5,0.5,2.5,0.5,3.5,7.5,3.5,6
0.5,1.5,3.5,1.5,5.5,1.5,7.5,0.5,10
0.5,2.5,1.5,2.5,4.5,3.5,8.5,1.5,11
0.5,2.5,3.5,2.5,7.5,3.5,8.5,5.5,12
0.5,2.5,1.9744744860593968,3.5,3.5,3.5,8.5,2.5,22
1.5,1.5,6.5,0.5,1.5,1.5,6.5,0.5,1
0.5,1.5,3.5,1.5,6.5,2.5,7.5,3.5,3
3.5,0.5,0.5,1.5,3.5,1.5,6.5,0.5,10
0.5,4.5,2.5,3.5,6.5,2.5,8.5,2.5,10
2.5,3.5,6.5,2.5,8.5,2.5,6.5,0.5,11
6.5,3.5,8.5,3.5,5.5,4.5,3.5,2.5,8
1.5,0.5,3.5,1.5,8.5,2.5,8.5,2.5,10
3.5,1.5,8.5,2.5,8.5,2.5,6.5,0.5,11
0.5,1.5,2.5,1.5,6.5,1.5,8.5,0.5,11
1.5,1.5,4.5,1.5,7.5,1.5,6.5,4.5,23
0.5,1.5,0.5,3.5,3.5,3.5,7.5,5.5,5
1.5,1.5,2.5,1.5,7.5,3.5,5.959482961484692,4.500000000000001,8
0.5,3.5,0.5,2.5,3.5,3.5,8.5,5.5,7
0.5,1.5,4.5,2.5,6.5,3.5,8.5,2.5,24
0.5,2.5,3.5,0.5,0.5,3.5,4.5,3.5,4
0.5,4.5,3.5,3.9758893274103304,7.5,3.5,5.5,5.5,10
0.5,1.5,1.5,2.5,2.5,2.5,7.499999999999999,5.008139019705315,10
0.5,4.5,3.5,2.5,7.5,1.5,6.5,1.5,11
0.5,1.5,4.5,3.5,6.5,4.5,6.5,5.5,11
1.5,4.5,2.5,3.5,5.5,3.5,7.5,5.5,6
0.5,3.5,1.5,3.5,5.5,2.5,7.5,1.5,10
0.5,2.5,1.5,3.5,4.5,3.5,8.5,4.5,22
0.5,3.5,1.5,2.5,6.5,3.5,8.5,5.5,8
0.5,2.5,1.5,2.5,4.5,2.5,6.5,1.5,8
0.5,1.5,3.5,2.5,8.5,2.5,8.5,0.5,10
0.5,2.5,1.983097326226149,2.4999999999999996,4.5,2.5,7.5,0.5,23
0.5,2.5,2.5,2.5,3.5,2.5,8.5,1.5,24
0.5,3.5,3.5,2.5,8.5,2.5,6.5,4.5,5
0.5,4.5,2.5,4.5,5.5,4.5,5.5,5.5,8
0.5,3.5,4.5,4.5,7.5,4.5,7.5,3.5,9
4.5,4.5,7.5,4.5,7.5,3.5,4.5,0.971667198525177,10
0.5,3.5,0.5,4.5,1.5,4.5,4.5,5.5,4
0.5,3.5,3.5,3.5,8.5,2.5,8.5,1.5,5
3.5,3.5,8.5,2.5,8.5,1.5,5.5,0.5,6
0.5,3.5,0.5,3.5,0.5,4.5,6.5,3.5,7
0.5,4.5,1.5,3.5,3.5,3.5,5.5,5.5,12
0.5,4.5,4.5,3.5,6.5,3.5,7.5,0.5,3
