CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,4.5,1.5,5.5,5.5,2.5,7.986847613558539,0.5,10
3.5,2.5,6.5,2.5,8.5,2.5,8.5,2.5,10
0.5,3.5,1.5,3.5,5.5,2.5,8.5,3.5,11
1.5,3.5,5.5,2.5,8.5,3.5,7.5,4.981958297952975,12
0.5,3.5,0.5,4.5,2.5,3.5,6.5,5.5,8
3.5,4.5,7.5,3.5,7.5,2.5,6.5,4.5,10
0.5,3.5,1.5,2.5,6.5,3.5,8.5,2.5,1
0.5,1.5,2.5,2.5,5.5,3.5,8.5,5.5,3
2.5,3.5,7.5,2.5,7.03360485361691,2.5000000000000004,3.5,3.5,7
0.5,1.5,1.5,1.5,6.5,1.5,7.5,1.5,23
1.5,1.5,6.5,1.5,7.5,1.5,7.5,1.5,24
1.5,4.5,3.5,4.5,7.5,3.5,8.5,3.5,3
3.5,4.5,7.5,3.5,8.5,3.5,6.5,4.5,4
4.5,2.5,6.5,2.5,5.5,2.5,7.5,1.5,4
1.5,3.5,0.5,3.5,2.5,3.5,6.5,3.5,15
0.5,3.5,1.5,2.5,1.5,2.5,8.5,0.5,24
0.5,4.5,2.5,5.5,7.5,4.5,7.5,4.5,3
4.5,0.5,0.5,1.5,1.5,2.5,5.5,5.5,7
0.5,3.5,1.5,4.5,6.5,4.5,8.5,4.5,19
0.5,3.5,3.5,4.5,2.5,3.5,6.5,4.5,24
4.5,2.5,7.5,1.5,1.5,3.5,4.5,2.5,8
7.5,1.5,1.5,3.5,4.5,2.5,7.5,1.5,9
0.5,1.5,3.5,1.5,8.5,1.5,7.5,2.5,11
3.5,1.5,8.5,1.5,7.5,2.5,4.990283507759455,5.5,12
0.5,1.5,0.5,2.5,6.5,3.5,7.5,3.5,8
0.5,1.5,3.5,2.5,6.5,2.5,7.5,0.5,8
0.5,3.5,2.5,2.5,7.5,2.5,7.5,4.5,6
0.5,2.5,2.5,3.5,5.5,3.5,8.5,3.5,7
1.5,2.5,8.5,2.5,7.5,3.5,2.5,4.5,8
0.5,3.5,3.5,2.5,8.5,3.5,8.5,1.5,11
0.5,3.5,3.5,2.5,6.5,2.5,8.5,0.5,21
0.5,2.5,0.5,1.5,4.5,0.5,0.5,1.5,1
0.5,1.5,4.5,0.5,0.5,1.5,4.5,3.5,2
0.5,3.5,0.5,3.5,2.5,1.5,6.5,2.5,8
0.5,5.5,3.5,5.5,8.5,3.5,5.5,1.5,23
0.5,2.5,2.5,2.5,6.5,2.5,4.5,3.5,8
2.5,2.5,6.5,2.5,4.5,3.5,6.5,2.5,9
6.5,2.5,4.5,3.5,6.5,2.5,8.5,0.5,10
0.5,2.5,2.5,2.5,7.5,2.5,8.5,1.5,11
0.5,2.5,1.5,1.5,1.5,3.5,8.5,3.5,24
0.5,3.5,4.5,3.5,7.5,3.5,5.5,1.5,7
0.5,1.5,3.5,2.5,6.5,3.5,6.5,4.5,16
2.5,3.5,6.5,2.5,6.5,2.5,5.5,0.5,10
0.5,4.5,1.5,4.5,6.5,3.5,8.5,3.5,21
1.5,4.5,6.5,3.5,8.5,3.5,8.5,3.5,22
6.5,3.5,8.5,3.5,8.5,3.5,1.5,2.5,23
0.5,1.5,0.5,1.5,2.5,1.5,6.5,2.5,14
0.5,1.5,1.5,2.5,3.5,4.5,8.5,3.5,11
1.5,2.5,3.5,4.5,8.5,3.5,8.5,0.5,12
1.5,2.5,6.5,2.5,7.5,2.5,7.5,5.5,2
2.5,3.5,3.5,2.5,5.5,2.5,8.5,4.5,3
