CaloAX,CaloAY,CaloBX,CaloBY,StartingCalo
2.5,4.5,0.5,1.5,11
1.5,5.5,4.5,5.5,11
2.5,2.5,5.5,0.5,12
0.5,1.5,3.5,2.5,12
0.5,1.5,4.5,1.5,13
0.5,3.5,4.5,5.5,14
4.996131503528997,2.5,8.5,3.5,17
2.5,3.5,8.5,3.5,17
0.5,3.5,1.5,0.5,18
0.5,3.5,3.5,5.5,18
8.5,3.5,7.5,5.5,18
8.5,3.5,6.5,0.5,18
0.5,1.5,5.5,0.5,18
1.5,4.5,8.5,3.5,19
1.5,3.5,6.5,1.5,21
3.5,2.5,8.5,2.5,22
3.5,1.5,8.5,3.5,23
0.5,2.5,5.5,2.5,23
0.5,0.5,3.5,1.5,24
1.5,1.5,8.5,3.5,24
0.5,2.5,4.5,4.5,24
0.5,3.5,6.5,3.5,24
0.5,4.5,2.5,5.5,1
3.5,2.5,6.5,4.5,1
4.987613982181095,3.5,8.5,3.5,2
1.5,3.5,6.5,5.5,3
2.5,0.5,5.5,2.5,3
1.5,5.5,3.5,4.5,4
0.5,3.5,1.5,4.5,4
0.5,1.5,3.5,0.5,4
5.5,2.5,6.5,5.5,4
0.5,1.5,2.5,2.5,4
0.5,3.5,6.5,2.5,4
0.5,2.5,2.5,3.5,4
1.5,3.5,2.5,1.5,4
1.5,4.5,6.5,4.5,5
0.5,3.5,3.5,4.5,5
0.5,3.5,4.5,3.5,5
2.5,2.5,7.5,2.5,5
6.5,2.5,8.5,1.5,5
2.5,3.5,4.5,3.5,5
0.5,2.5,2.5,2.5,5
0.5,3.5,2.5,2.5,6
3.5,4.5,6.5,4.5,6
1.5,1.5,6.5,4.5,6
4.5,3.5,5.5,2.5,6
2.5,2.5,7.5,2.5,6
1.5,2.5,5.5,3.5,6
0.5,1.5,6.5,1.5,7
1.5,3.5,3.5,3.5,7
1.5,2.5,4.5,2.5,8
1.5,2.5,2.5,3.5,8
0.5,3.5,1.5,3.5,8
5.5,2.5,8.5,2.5,8
0.5,2.5,2.5,4.5,8
0.5,2.5,2.5,2.5,9
2.5,3.5,3.9742810416378527,3.5,9
0.5,2.5,4.5,0.5,9
2.5,2.5,6.5,2.5,9
1.5,3.5,5.5,5.5,9
0.5,5.5,2.5,0.5,9
0.5,1.5,5.5,1.5,9
8.5,2.5,0.5,3.5,9
0.5,3.5,5.5,2.5,9
1.5,4.5,6.5,5.5,9
8.5,1.5,8.5,2.5,9
0.5,2.5,2.5,1.5,9
0.5,1.5,5.5,5.5,10
1.5,3.5,5.5,4.5,10
0.5,1.5,3.5,2.5,10
3.9742810416378527,3.5,4.5,4.5,10
6.5,2.5,6.5,3.5,10
4.5,3.5,8.5,3.5,10
2.5,0.5,4.5,1.5,10
0.5,3.5,4.5,3.5,10
1.5,2.5,1.5,2.5,10
8.5,2.5,4.5,5.5,10
0.5,3.5,6.5,5.5,10
1.5,2.5,3.5,3.5,11
2.5,1.5,6.5,0.5,11
0.5,3.5,1.5,4.5,12
1.5,2.5,5.5,3.5,12
3.5,3.5,6.5,4.5,13
0.5,4.5,2.5,5.5,13
8.5,3.5,6.5,0.5,13
1.5,4.5,4.5,5.5,13
0.5,2.5,1.5,2.5,13
6.5,4.5,8.5,4.5,14
1.5,2.5,4.5,2.5,14
0.5,4.5,2.5,1.5,15
0.5,2.5,5.5,3.5,15
0.5,3.5,5.5,5.5,17
1.5,3.5,4.5,4.5,17
2.5,2.5,7.5,2.5,18
0.5,3.5,3.5,1.5,18
1.5,4.5,4.5,3.5,18
4.5,3.5,7.5,3.5,19
0.5,4.5,3.5,5.5,21
0.5,1.5,2.5,4.5,21
6.5,3.5,7.5,1.5,21
0.5,3.5,2.5,1.5,21
0.5,3.5,4.5,5.5,21
1.5,4.5,5.5,1.5,21
0.5,3.5,2.5,5.5,22
0.5,3.5,2.5,3.5,22
0.5,4.5,6.5,4.5,22
0.5,2.5,4.5,1.5,22
2.5,2.5,8.5,3.5,23
0.5,3.5,1.5,5.5,23
0.5,5.5,8.5,4.5,23
0.5,4.5,8.5,3.5,24
1.5,0.5,7.5,0.5,1
0.5,1.5,3.5,3.5,1
0.5,1.5,0.5,1.5,1
0.5,1.5,7.5,1.5,2
4.5,3.5,7.5,2.5,3
2.5,0.5,6.5,1.5,3
8.5,0.5,0.5,3.5,3
0.5,3.5,3.5,4.5,3
0.5,1.5,1.5,1.5,3
0.5,3.5,2.5,2.5,3
0.5,1.5,6.5,1.5,3
2.5,2.5,7.5,3.5,3
0.5,5.5,2.5,5.5,3
0.5,2.5,2.5,2.5,3
1.5,1.5,3.5,0.5,3
0.5,3.5,2.5,5.5,4
1.5,1.5,7.5,4.5,4
2.5,2.5,5.5,5.5,4
0.5,4.5,4.5,4.5,4
5.5,3.5,7.5,4.5,5
1.5,4.5,0.5,4.5,5
0.5,1.5,2.5,0.5,5
5.5,3.5,7.5,4.5,6
0.5,2.5,4.5,1.5,6
2.5,0.5,8.5,0.5,6
0.5,1.5,2.5,2.5,7
0.5,0.5,3.5,0.5,7
0.5,2.5,3.5,2.5,7
0.5,2.5,4.5,2.5,7
0.5,2.5,2.5,2.5,7
4.5,4.5,5.5,5.5,7
0.5,3.5,5.5,5.5,7
3.5,1.5,7.5,3.5,8
3.5,0.5,7.5,1.5,8
0.5,2.5,1.5,5.5,8
3.5,2.5,7.5,2.5,8
0.5,2.5,2.5,2.5,8
0.5,4.5,0.5,4.5,8
2.5,2.5,5.5,2.5,8
0.5,3.5,1.5,3.5,8
0.5,3.5,5.5,2.5,9
2.5,2.5,8.5,4.5,9
0.5,4.5,5.5,4.5,9
1.5,3.5,7.5,2.5,9
3.5,3.5,6.5,5.5,10
1.5,2.5,5.5,4.5,10
2.5,1.5,6.5,1.5,10
8.5,5.5,2.0524019916990035,0.5,10
0.5,0.5,2.5,0.5,11
0.5,2.5,1.5,0.5,12
2.5,4.5,5.5,2.5,12
0.5,5.5,2.5,5.5,12
2.5,0.5,8.5,2.5,12
7.5,4.5,8.5,4.5,13
0.5,1.5,1.5,2.5,13
1.5,2.5,5.5,3.5,14
0.5,4.5,8.5,1.5,15
1.5,2.5,7.5,1.5,16
0.5,2.5,1.5,3.5,18
1.5,3.5,5.5,2.5,19
4.5,1.5,6.5,1.5,19
0.5,3.5,2.5,4.5,20
