N,tau,A,R,phi,ACBO,tauCBO,omegaCBO,phiCBO
0.00010685294466567153,2.1896469898942812e-08,2.0798477182353632e-10,1.3463161818011462e-05,1.8325373216058084e-09,3.6761615973546213e-10,2.8180124900245573e-11,2.17199036853411e-10,2.2238699597110223e-13
0.00011153491906007839,2.2888934268587553e-08,2.091100098873531e-10,1.4307669445429242e-05,1.9623674943294616e-09,1.047184144953306e-09,2.4519790997601376e-05,6.245833448117863e-10,5.316925984211185e-08
0.00011276627671336693,2.2794623639225403e-08,2.1404264929993415e-10,1.3768898993649427e-05,1.878403348877842e-09,1.05537423245039e-09,2.3581747953471677e-05,6.087916886492919e-10,5.2424431518094394e-08
0.00011160727257854737,2.2326623999491007e-08,2.1414286049060596e-10,1.3674457187887783e-05,1.89899905705182e-09,1.027666757247303e-09,2.3485879509621554e-05,6.009417955063329e-10,5.2693146235238686e-08
0.00011019177533719332,2.2196861033147654e-08,2.1434587280778587e-10,1.3654359060331748e-05,1.873824632160605e-09,3.869923270727327e-10,3.341256160638295e-10,5.863447197155826e-10,5.032234962065729e-08
0.00010860926099798015,2.2037175681220544e-08,2.109638323966825e-10,1.381752992504806e-05,1.8829522166260655e-09,3.7487063453411906e-10,5.467768460221123e-10,5.778107563199451e-10,5.077592946101106e-08
0.00010684463512114237,2.192698686155953e-08,2.0818923979944676e-10,1.3843283037578839e-05,1.9003632018423567e-09,1.0390753535372e-09,2.4755479486771037e-05,5.677225563670008e-10,4.814837140099115e-08
0.00010630337603159295,2.1660421982489323e-08,2.0615046571677083e-10,1.323880599534858e-05,1.8369592326390944e-09,1.029560769971738e-09,2.3733396588454525e-05,5.688218901888684e-10,4.928549790506054e-08
0.00011070050274955491,2.25206322934562e-08,2.130862204030968e-10,1.3682461263543481e-05,1.879764006436833e-09,1.0255204740960977e-09,2.549832933596008e-05,5.902359434022984e-10,5.120583135287404e-08
0.00011044310354503744,2.2339468644212423e-08,2.111373202533499e-10,1.390865667435113e-05,1.914186944799158e-09,3.7870850899679454e-10,5.1585402616183273e-11,5.826874498236133e-10,5.1918428223274304e-08
0.00011250851328604415,2.3036827985439015e-08,2.1221396526444718e-10,1.4542436408720394e-05,2.0149003276498485e-09,1.0874514622116749e-09,2.447464480326289e-05,6.196852679925235e-10,5.346953479978822e-08
0.00010355541647646302,2.1417798487359258e-08,2.1038050006811156e-10,7.777474849870964e-06,1.0707000899852177e-09,8.738222645465754e-10,2.163156464973781e-05,5.906489042509351e-10,5.0753756086763246e-08
0.00010910807533650841,2.237047311382457e-08,2.130758655138748e-10,1.3866334679382036e-05,1.8949276614455855e-09,1.0089436508486926e-09,2.301691519335236e-05,5.881598193748696e-10,4.9507332233744705e-08
0.0001067953889974159,2.1941550062640996e-08,2.0999239587984445e-10,1.3676056766147132e-05,1.904700710429123e-09,3.7212999348668063e-10,7.948131042212481e-11,5.761996539458622e-10,4.9488846576295487e-08
0.00010850002514572198,2.21325219602427e-08,2.0573062775997646e-10,1.4291896042508428e-05,1.958854186840497e-09,9.64728574803786e-10,2.548350457232118e-05,5.964479636931939e-10,5.0939974682862044e-08
0.00010439359320714347,2.11793320439628e-08,2.0314066415374458e-10,1.3293841573430084e-05,1.8647458241739945e-09,9.73879421550805e-10,2.232525842771338e-05,5.715118633752232e-10,4.920339935488016e-08
0.00010781822319774948,2.1762806223687302e-08,2.0753861786266026e-10,1.3815532137475413e-05,1.9250273210020036e-09,3.705452888969063e-10,3.9619862945983186e-11,5.81135276103057e-10,5.075267361931424e-08
4.354073062895607e-05,8.777242344773762e-09,2.0926258530433916e-10,1.3861970962930734e-05,1.922702251864197e-09,3.8298156312954745e-10,1.9123547190247336e-10,5.747307531699508e-10,5.022813320820774e-08
0.00010732013666127578,2.185254664557891e-08,2.1171454383909287e-10,1.3469984090135865e-05,1.8481574287450312e-09,1.0119351467885451e-09,2.5693075215826866e-05,5.705892968899797e-10,4.9345212804752236e-08
0.00011401088610508582,2.298607527668457e-08,2.1392028140795772e-10,1.4106342157351463e-05,1.9291642321764024e-09,1.1053184478804212e-09,2.542758397794387e-05,6.087974493670409e-10,5.2600325872731446e-08
0.00011106402753927829,2.2602688203537227e-08,2.136134613697304e-10,1.3610227410755403e-05,1.8848625669228407e-09,1.0400747763039675e-09,2.4569102109239793e-05,5.999718841740769e-10,5.211121800741125e-08
0.00010929224663634168,2.2131341050526866e-08,2.1057935358708233e-10,1.3660444226659878e-05,1.8816150869626174e-09,3.72154806971281e-10,1.7493562154413667e-11,5.88399740373232e-10,5.175894823850058e-08
0.00011257232241088056,2.273592389242392e-08,2.1248075252383132e-10,1.4150502683155677e-05,1.9410123976981926e-09,1.0965016949970874e-09,2.369906293608892e-05,5.963938504647367e-10,5.1495357755726445e-08
0.00010847986532796089,2.2106015017409135e-08,2.055524851478634e-10,1.3947667109626758e-05,1.8981115761038567e-09,9.939733203179202e-10,2.432072824376519e-05,6.113740121203397e-10,5.287946480692085e-08
